qseqid	sseqid	evalue	pident	length	gaps	sstart	send	qstart	qend
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_14	6e-30	21.00	400	0	1	400	1	400
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_1	7e-28	19.64	499	0	1	499	1	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_20	2e-23	19.24	473	6	1	459	1	459
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_29	2e-23	19.43	489	5	11	497	13	497
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_8	4e-20	17.18	419	0	19	437	19	437
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_11	8e-20	18.85	435	4	10	434	10	434
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_30	1e-19	23.06	360	9	146	499	146	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_17	4e-19	17.62	505	7	1	490	1	490
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_0	5e-19	18.58	409	0	1	409	1	409
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_5	6e-19	18.05	493	2	8	499	8	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_31	1e-18	18.18	385	2	116	499	116	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_21	6e-18	17.47	498	5	1	490	1	490
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_28	2e-17	18.03	477	6	27	499	27	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_9	2e-17	18.07	332	0	19	350	19	350
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_16	1e-16	18.35	496	7	6	495	3	495
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_4	2e-16	18.18	440	3	4	439	4	439
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_25	2e-16	19.94	351	2	150	499	150	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_3	3e-14	22.86	210	1	4	212	3	212
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_22	2e-13	18.77	405	8	104	499	104	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_2	2e-13	19.37	222	0	3	224	3	224
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_2	4.7	27.50	40	1	405	440	350	389
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_12	5e-13	18.88	498	5	7	499	7	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_24	2e-12	18.64	354	0	146	499	146	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_6	3e-11	16.38	403	2	15	416	15	416
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_7	5e-10	18.11	403	4	15	414	15	414
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_13	4e-08	15.79	437	0	8	444	8	444
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_15	1e-07	19.62	158	0	11	168	11	168
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_10	2e-07	20.29	138	0	10	147	10	147
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_18	4e-07	16.72	299	1	1	297	1	299
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_23	4e-07	17.84	398	10	1	386	1	373
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_23	7.6	34.29	35	2	438	471	162	195
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_26	1e-05	14.29	350	0	150	499	150	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_19	5e-04	15.10	298	4	1	293	1	293
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	f0_27	0.002	16.51	327	2	176	499	176	499
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	0.017	15.08	199	3	8	193	8	193
ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	ID_2_F1_0_F2_1_G_2_SplitPt_66_GenID_0	1.1	24.07	54	0	1	54	1	54
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_13	0.0	100.00	308	0	193	500	193	500
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_12	3e-140	63.82	304	0	197	500	197	500
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_17	4e-137	99.48	193	0	1	193	1	193
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_14	1e-81	40.46	304	0	193	496	193	496
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_15	8e-79	40.46	304	0	193	496	193	496
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_16	7e-71	54.17	192	0	1	192	1	192
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_11	5e-51	29.74	306	2	191	495	191	495
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_9	1e-46	28.62	304	0	194	497	194	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_10	2e-46	29.84	315	1	183	495	181	495
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_8	7e-46	27.87	305	0	193	497	193	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_19	6e-37	32.14	196	0	1	196	1	196
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_18	6e-34	33.68	193	0	1	193	1	193
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_7	1e-32	24.09	328	6	180	497	181	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_6	5e-31	21.47	312	5	195	499	195	499
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_0	1e-29	24.76	307	2	195	500	195	500
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_1	1e-28	25.96	312	5	194	497	191	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_3	2e-26	22.26	301	0	195	495	195	495
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_22	2e-25	27.60	192	0	1	192	1	192
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_25	2e-25	30.00	180	0	1	180	1	180
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_16	5e-25	25.36	280	2	220	497	220	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_20	5e-24	27.98	193	0	1	193	1	193
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_5	1e-22	20.00	305	0	194	498	194	498
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_21	2e-22	26.88	186	0	8	193	8	193
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_24	4e-22	26.67	210	1	1	210	1	208
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_27	2e-21	21.96	296	1	182	473	178	473
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_2	2e-21	23.13	294	2	204	495	206	495
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_4	1e-20	21.38	304	0	194	497	194	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_23	5e-20	25.13	191	0	1	191	1	191
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_23	8e-20	20.70	285	0	207	491	207	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_17	2e-19	24.50	249	0	249	497	249	497
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_26	2e-19	25.00	200	1	1	200	1	199
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_27	8e-18	24.50	200	1	1	200	1	199
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_22	6e-17	19.00	321	4	175	491	176	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_31	2e-16	25.43	173	2	10	180	10	180
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_30	2e-16	25.86	174	2	9	180	9	180
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_29	5e-14	24.14	174	2	9	180	9	180
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_20	3e-13	20.06	324	8	182	485	178	495
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_28	3e-11	18.86	175	0	1	175	1	175
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_31	5e-11	17.28	272	3	195	461	195	461
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_1	9e-11	23.74	198	5	1	193	1	193
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_18	9e-11	19.58	240	0	252	491	252	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_30	1e-10	16.50	297	0	195	491	195	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	ID_2_F1_0_F2_1_G_2_SplitPt_66_GenID_0	2e-10	17.18	489	6	9	491	9	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_26	7e-10	18.77	341	9	128	461	138	461
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	ID_1_F1_1_F2_1_G_3_SplitPt_99_GenID_0	2e-09	16.92	266	1	227	491	226	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_19	2e-09	17.08	240	0	252	491	252	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_24	3e-09	18.15	281	2	195	472	195	472
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_21	7e-09	20.00	230	3	175	402	176	402
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_29	9e-09	16.29	313	4	181	491	184	491
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_8	1e-07	24.48	143	2	30	166	24	166
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_28	4e-07	13.21	265	0	222	486	222	486
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f1_25	6e-07	16.73	281	2	195	473	195	473
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_15	2e-06	22.06	136	0	56	191	56	191
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_13	2e-06	20.86	139	1	43	181	43	174
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_12	6e-05	22.99	87	1	89	175	89	174
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_2	7e-05	17.20	157	0	5	161	5	161
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_11	1e-04	19.82	111	0	56	166	56	166
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_0	5e-04	19.62	158	3	1	154	1	154
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_14	5e-04	24.21	95	0	97	191	97	191
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_9	0.001	22.81	114	2	46	156	46	156
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_3	0.002	19.35	186	3	5	185	5	181
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	f0_6	0.015	21.00	100	2	93	191	93	191
ID_3_F1_0_F2_1_G_4_SplitPt_192_GenID_0	ID_0_F1_0_F2_0_G_0_SplitPt_170_GenID_0	0.017	15.08	199	3	8	193	8	193
